"yt";"issued";"title";"value";"color";"type"
2322;1984;"Liberty";"2.10 ₣ - French franc";"Light red";"timbre"
"2322c";1984;"Liberty coil stamp";"2.10 ₣ - French franc";"Light red";"timbre"
2323;1984;"Monastery of the Grande Chartreuse 1084";"1.70 ₣ - French franc";"Blue | Violet";"timbre"
2324;1984;"Postman Chevals Ideal Palace, Hauterives - Drome";"2.10 ₣ - French franc";"Multicolor";"timbre"
2325;1984;"Belle Ile en Mer - Vauban citadel";"2.50 ₣ - French franc";"Multicolor";"timbre"
2326;1984;"Lighthouse Cordouan";"3.50 ₣ - French franc";"Black | Violet";"timbre"
2327;1984;"25th International Geographical Congress - Paris-Alps";"3 ₣ - French franc";"Multicolor";"timbre"
2328;1984;"Emile Littré (1801-1881)";"1.60+0.40 ₣ - French franc";"Black | Lilac";"timbre"
2329;1984;"Jean Zay (1904-1944)";"1.60+0.40 ₣ - French franc";"Black | Blue green";"timbre"
"2329A";1984;"Pierre Corneille (1606-1684)";"1.70+0.40 ₣ - French franc";"Black | Purple violet";"timbre"
2330;1984;"Gaston Bachelard (1884-1962)";"2+0.40 ₣ - French franc";"Black | Violet brown";"timbre"
2331;1984;"Jean Paulhan (1884-1968)";"2.10+0.40 ₣ - French franc";"Black | Lilac brown";"timbre"
2332;1984;"Evariste Galois (1811-1832)";"2.10+0.40 ₣ - French franc";"Black | Violet blue";"timbre"
2333;1984;"Telecom 1 Communications Satellite";"3.20 ₣ - French franc";"Multicolor";"timbre"
2334;1984;"SNCF - Post - Postal TGV Rame";"2.10 ₣ - French franc";"Multicolor";"timbre"
2335;1984;"Ruins of Montsegur Fortress";"3.70 ₣ - French franc";"Multicolor";"timbre"
2336;1984;"Marx Dormoy (1888-1941)";"2.40 ₣ - French franc";"Black | Cobalt";"timbre"
2337;1984;"Bearded Vulture (Gypaetus barbatus ssp. aureus)";"1 ₣ - French franc";"Multicolor";"timbre"
2338;1984;"Short-toed Snake-eagle (Circaetus gallicus gallicus)";"2 ₣ - French franc";"Multicolor";"timbre"
2339;1984;"Eurasian Sparrowhawk (Accipiter nisus nisus)";"3 ₣ - French franc";"Multicolor";"timbre"
2340;1984;"Peregrine Falcon (Falco peregrinus)";"5 ₣ - French franc";"Multicolor";"timbre"
2341;1984;"Centennial of the automobile: Plan-Deboutteville Delamare-Ma";"3 ₣ - French franc";"Multicolor";"timbre"
2342;1984;"Andre Masson The Pythia";"5 ₣ - French franc";"Multicolor";"timbre"
2343;1984;"Jean Helion (1904-1987) The painter walked by his model";"5 ₣ - French franc";"Multicolor";"timbre"
2344;1984;"President Vincent Auriol (1884-1966)";"2.10 ₣ - French franc";"Olive | Siena";"timbre"
2345;1984;"Caly La Corbeille rose";"2.10+0.50 ₣ - French franc";"Multicolor";"timbre"
"2345a";1984;"Caly La corbeille rose";"2.10+0.50 French centime";"Multicolor";"timbre"
2346;1984;"9th plan 1984-1988: Modernising France";"2.10 ₣ - French franc";"Multicolor";"timbre"
2347;1985;"Francophonie: equal - different - united";"3 ₣ - French franc";"Blue";"timbre"
2348;1985;"Vienne (Isère)";"1.70 ₣ - French franc";"Green";"timbre"
2349;1985;"Abbey Landévennec";"1.70 ₣ - French franc";"Green";"timbre"
2350;1985;"Cathedral Montpellier";"2.10 ₣ - French franc";"Brown | Orange";"timbre"
2351;1985;"Abbey Saint-Michel-de-Cuxa";"2.20 ₣ - French franc";"Multicolor";"timbre"
2352;1985;"Saintonge - Church of Talmont";"3 ₣ - French franc";"Multicolor";"timbre"
2353;1985;"TV 1935-1985";"2.50 ₣ - French franc";"Multicolor";"timbre"
2354;1985;"Peynet lovers - Valentines Day";"2.10 ₣ - French franc";"Multicolor";"timbre"
2355;1985;"Romain Rolland (1866-1944)";"1.70+0.40 ₣ - French franc";"Violet";"timbre"
"2355a";1985;"Romain Rolland (1866-1944)";"1.70+0.40 ₣ - French franc";"Violet";"timbre"
2356;1985;"Jules Romains (1885-1972)";"1.70+0.40 ₣ - French franc";"Violet";"timbre"
"2356a";1985;"Jules Romains (1885-1972)";"1.70+0.40 ₣ - French franc";"Violet";"timbre"
2357;1985;"Jean-Paul Sartre (1905-1980)";"1.70+0.40 ₣ - French franc";"Violet";"timbre"
"2357a";1985;"Jean-Paul Sartre (1905-1980)";"1.70+0.40 ₣ - French franc";"Violet";"timbre"
2358;1985;"Victor Hugo (1802-1885)";"2.10+0.50 ₣ - French franc";"Violet";"timbre"
"2358a";1985;"Victor Hugo (1802-1885)";"2.10+0.50 ₣ - French franc";"Violet";"timbre"
2359;1985;"Roland Dorgelès (1866-1944)";"2.10+0.50 ₣ - French franc";"Violet";"timbre"
"2359a";1985;"Roland Dorgelès (1866-1944)";"2.10+0.50 ₣ - French franc";"Violet";"timbre"
2360;1985;"François Mauriac (1885-1970 )";"2.10+0.50 ₣ - French franc";"Violet";"timbre"
"2360a";1985;"François Mauriac (1885-1970)";"2.10+0.50 ₣ - French franc";"Violet";"timbre"
2361;1985;"Celebrating Women: Pauline Kergomard";"1.70 ₣ - French franc";"Grey";"timbre"
2362;1985;"Daguins canceling machine";"2.10+0.50 ₣ - French franc";"Black";"timbre"
2363;1985;"Stained glass window of Strasbourg Cathedral";"5 ₣ - French franc";"Multicolor";"timbre"
2364;1985;"Nicolas de Stael Still Life with Candlestick";"5 ₣ - French franc";"Blue";"timbre"
2365;1985;"Givors: Contemporary Architecture";"2.40 ₣ - French franc";"Black";"timbre"
2366;1985;"C.E.P.T.- Adam de la Halle (1240-1285)";"2.10 ₣ - French franc";"Blue";"timbre"
2367;1985;"C.E.P.T.- Darius Milhaud (1892-1974)";"3 ₣ - French franc";"Black | Violet";"timbre"
2368;1985;"40th Anniversary of Victory in 1945: Return to Peace";"2 ₣ - French franc";"Multicolor";"timbre"
2369;1985;"40th Anniversary of Victory in 1945: Victory";"3 ₣ - French franc";"Black";"timbre"
2370;1985;"Tours: Congress of the French Federation of Philatelic Socie";"2.10 ₣ - French franc";"Blue | Greenish blue";"timbre"
2371;1985;"Centenary of Vaccination against Rabies";"1.50 ₣ - French franc";"Multicolor";"timbre"
2372;1985;"Major achievements: Mystere Falcon 900";"10 ₣ - French franc";"Cobalt";"timbre"
2373;1985;"Centenary of Lake Geneva International Life-Saving Society";"2.50 ₣ - French franc";"Black | Multicolor";"timbre"
2374;1985;"40th anniversary of the United Nations";"3 ₣ - French franc";"Blue";"timbre"
2375;1985;"Liberty";"1.80 ₣ - French franc";"Green";"timbre"
2376;1985;"Liberty";"2.20 ₣ - French franc";"Red";"timbre"
"2376a";1989;"Liberty";"2.20 ₣ - French franc";"Scarlet";"timbre"
"2376b";1985;"Liberty";"2.60 ₣ - French franc";"Brown | Red";"timbre"
"2376d";1989;"Liberty";"2.20 ₣ - French franc";"Scarlet";"timbre"
2377;1985;"Liberty";"3.20 ₣ - French franc";"Blue";"timbre"
2378;1985;"Liberty coil stamp";"1.80 ₣ - French franc";"Green";"timbre"
2379;1985;"Liberty coil stamp";"2.20 ₣ - French franc";"Red";"timbre"
2380;1985;"Huguenot 1685-1985 ,300years of the Nantes Edict";"2.50 ₣ - French franc";"Multicolor";"timbre"
2381;1985;"Dubuffet The lost";"5 ₣ - French franc";"Black";"timbre"
2382;1985;"Work of Pierre Alechinsky";"5 ₣ - French franc";"Multicolor";"timbre"
2383;1985;"Art- Alberto Giacometti";"5 ₣ - French franc";"Black | Yellow";"timbre"
2384;1985;"Tree: Beech beech - Fagus sylvatica";"1 ₣ - French franc";"Multicolor";"timbre"
2385;1985;"Tree: Elm mountains - Ulmus montana";"2 ₣ - French franc";"Multicolor";"timbre"
2386;1985;"Tree: English Oak - Quercus pedunculata";"3 ₣ - French franc";"Multicolor";"timbre"
2387;1985;"Tree: Spruce - Picea abies";"5 ₣ - French franc";"Multicolor";"timbre"
2388;1985;"Solutre";"3.90 ₣ - French franc";"Multicolor";"timbre"
2389;1985;"65th anniversary of the burial of the Unknown Soldier under";"1.80 ₣ - French franc";"Multicolor";"timbre"
2390;1985;"Charles Dullin (1885-1949)";"3.20 ₣ - French franc";"Black | Violet blue";"timbre"
2391;1985;"40th Anniversary of French Information Service";"2.20 ₣ - French franc";"Black | Red";"timbre"
2392;1985;"Isenheim Altarpiece of the Antonines - Colmar";"2.20+0.50 ₣ - French franc";"Multicolor";"timbre"
"2392a";1985;"Retable dIssenheim Colmar";"2.20+0.50 ₣ - French franc";"Multicolor";"timbre"
2393;1986;"Tercentenary of Diplomatic Relations with Thailand";"3.20 ₣ - French franc";"Black | Purple";"timbre"
2394;1986;"Popular Front 1936-1986 Les loisirs Fernand Léger";"2.20 ₣ - French franc";"Multicolor";"timbre"
2395;1986;"Carnival - Venice to Paris";"2.20 ₣ - French franc";"Multicolor";"timbre"
2396;1986;"François Arago (1786-1863): physicist and politician";"1.80+0.40 ₣ - French franc";"Blue";"timbre"
2397;1986;"Henri Moissan (1852-1907): Chemist";"1.80+0.40 ₣ - French franc";"Blue";"timbre"
2398;1986;"Henri Fabre (1882-1984): Engineer";"1.80+0.40 ₣ - French franc";"Blue";"timbre"
2399;1986;"Marc Seguin (1786-1875): Engineer";"2.20+0.50 ₣ - French franc";"Green";"timbre"
2400;1986;"Paul Heroult (1863-1914): Chemist";"2.20+0.50 ₣ - French franc";"Green";"timbre"
2401;1986;"Megalithic monument Filitosa: South Corsica";"1.80 ₣ - French franc";"Multicolor";"timbre"
2402;1986;"Castle of Loches";"2 ₣ - French franc";"Blue";"timbre"
2403;1986;"Castle of Saint-Germain-de-Livet";"2.20 ₣ - French franc";"Multicolor";"timbre"
2404;1986;"Cloister of Notre Dame en Vaux at Chalons-sur-Marne";"2.50 ₣ - French franc";"Brown | Brown red";"timbre"
2405;1986;"Bastide de Monpazier - Dordogne";"3.90 ₣ - French franc";"Black | Orange";"timbre"
2406;1986;"Pierre Cot (1895-1977)";"2.20+0.50 ₣ - French franc";"Violet brown";"timbre"
2407;1986;"Typography: Drawing Raymond Gid";"5 ₣ - French franc";"Black | Red lilac";"timbre"
2408;1986;"Celebrating Women: Louise Michel (1830-1905)";"1.80 ₣ - French franc";"Black";"timbre"
2409;1986;"City of Science and Industry - La Villette";"3.90 ₣ - French franc";"Multicolor";"timbre"
2410;1986;"The mail coach Briska 1830 (brown on beige)";"2.20+0.60 ₣ - French franc";"Black lilac purple";"timbre"
2411;1986;"The mail coach Briska dark (brown on light yellow) (book)";"2.20+0.60 ₣ - French franc";"Black violet brown";"timbre"
2412;1986;"Centre for Advanced Studies on modern Africa and Asia";"3.20 ₣ - French franc";"Multicolor";"timbre"
2413;1986;"Maurice Estève «Skibet»";"5 ₣ - French franc";"Multicolor";"timbre"
2414;1986;"Alberto Magnelli «Virginia»";"5 ₣ - French franc";"Multicolor";"timbre"
2415;1986;"International Year of Peace: Victor Basch (1863-1944)";"2.50 ₣ - French franc";"Black | Yellowish green";"timbre"
2416;1986;"C.E.P.T. - Common Genet (Genetta genetta)";"2.20 ₣ - French franc";"Brown black | Carmine red";"timbre"
2417;1986;"C.E.P.T - Lesser Horseshoe Bat (Rhinolophus hipposideros)";"3.20 ₣ - French franc";"Brown black | Carmine red";"timbre"
2418;1986;"Saint J.M.B. Vianney (1786-1859) - Cure of Ars";"1.80 ₣ - French franc";"Multicolor";"timbre"
2419;1986;"Nancy: Congress of the French Federation of Philatelic Socie";"2.20 ₣ - French franc";"Multicolor";"timbre"
2420;1986;"Mens World Championship Volleyball";"2.20 ₣ - French franc";"Multicolor";"timbre"
2421;1986;"Statue of Liberty Centenary";"2.20 ₣ - French franc";"Red | Violet blue";"timbre"
2422;1986;"Bicentenary first ascent of Mont Blanc - J. Balmat - M.G. Pa";"2 ₣ - French franc";"Multicolor";"timbre"
2423;1986;"Liberty";"A º - No Face Value";"Dark yellowish green";"timbre"
2424;1986;"Liberty";"1.90 ₣ - French franc";"Dark yellowish green";"timbre"
2425;1986;"Liberty";"3.40 ₣ - French franc";"Dark cobalt";"timbre"
2426;1986;"Liberty coil stamp";"1.90 ₣ - French franc";"Dark yellowish green";"timbre"
2427;1986;"Liberty";"2.20 ₣ - French franc";"Bright red";"timbre"
"2427a";1986;"Liberty";"2*2.20 ₣ - French franc";"Bright red";"timbre"
2428;1986;"Measurement of arcs of meridian - Moreau de Maupertuis - La";"3 ₣ - French franc";"Multicolor";"timbre"
2429;1986;"Marcassite";"2 ₣ - French franc";"Multicolor";"timbre"
2430;1986;"Quartz";"3 ₣ - French franc";"Multicolor";"timbre"
2431;1986;"Calcite";"4 ₣ - French franc";"Multicolor";"timbre"
2432;1986;"Fluorite";"5 ₣ - French franc";"Multicolor";"timbre"
2433;1986;"French Cinematheque: Louis Feuillade Vampires";"2.20 ₣ - French franc";"Multicolor";"timbre"
2434;1986;"French Cinematheque: Max Linder";"2.20 ₣ - French franc";"Multicolor";"timbre"
2435;1986;"French Cinematheque: Sacha Guitry The romance of a cheater";"2.20 ₣ - French franc";"Multicolor";"timbre"
2436;1986;"French Cinematheque: Jean Renoir Grand Illusion";"2.20 ₣ - French franc";"Multicolor";"timbre"
2437;1986;"French Cinematheque: Marcel Pagnol The Bakers Wife";"2.20 ₣ - French franc";"Multicolor";"timbre"
2438;1986;"French Cinematheque: Jean Epstein Ice 3-sided";"2.20 ₣ - French franc";"Multicolor";"timbre"
2439;1986;"French Cinematheque: Rene Clair Beauties of the Night";"2.20 ₣ - French franc";"Multicolor";"timbre"
2440;1986;"French Cinematheque: Jean Gremillon Love Hangover";"2.20 ₣ - French franc";"Multicolor";"timbre"
2441;1986;"French Cinematheque: Jacques Becker Casque dOr";"2.20 ₣ - French franc";"Multicolor";"timbre"
2442;1986;"French Cinematheque: Francois Truffaut The Wild Child";"2.20 ₣ - French franc";"Multicolor";"timbre"
2443;1986;"Henri Alain-Fournier (1886-1914) Le Grand Meaulnes";"2.20 ₣ - French franc";"Black";"timbre"
2444;1986;"Centenary of Technical Education";"1.90 ₣ - French franc";"Blue violet | Lilac";"timbre"
2445;1986;"Cannes: World Energy Conference";"3.40 ₣ - French franc";"Multicolor";"timbre"
2446;1986;"Leonardo da Vinci Portrait of Isabella dEste";"5 ₣ - French franc";"Multicolor";"timbre"
2447;1986;"Jean Arp The Dancer";"5 ₣ - French franc";"Multicolor";"timbre"
2448;1986;"Pierre Soulages: Original work";"5 ₣ - French franc";"Black | Violet";"timbre"
2449;1986;"Window of Vieira da Silva - Church of St. Jacques de Reims";"2.20+0.60 ₣ - French franc";"Multicolor";"timbre"
"2449a";1986;"Vitrail de Viera da Silva";"2.20+0.60 ₣ - French franc";"Multicolor";"timbre"
2450;1986;"Mulhouse Techniqual Museums";"2.20 ₣ - French franc";"Black | Red";"timbre"
2451;1986;"Inauguration of the Musée dOrsay";"3.70 ₣ - French franc";"Blue";"timbre"
2452;1987;"Fulgence Bienvenue (1852-1936) Father of Metro";"2.50 ₣ - French franc";"Multicolor";"timbre"
2453;1987;"Raoul Follereau (1903-1977) - Father of lepers";"1.90 ₣ - French franc";"Bluish green | Green black";"timbre"
2454;1987;"Charles Richet (1850-1935). Anaphylaxis Nobel Prize for Medi";"1.90+0.50 ₣ - French franc";"Violet blue";"timbre"
"2454a";1987;"Charles Richet (1850-1935). Anaphylaxis Nobel Prize for Medi";"1.90+0.50 ₣ - French franc";"Violet blue";"timbre"
2455;1987;"Jamot Eugene (1879-1937). Fight against sleeping sickness";"1.90+0.50 ₣ - French franc";"Black purple";"timbre"
"2455a";1987;"Jamot Eugène (1879-1937). Fight against sleeping sickness";"1.90+0.50 ₣ - French franc";"Black purple";"timbre"
2456;1987;"Bernard Halpern (1904-1978). Immunologist - Works on Allergy";"1.90+0.50 ₣ - French franc";"Green black";"timbre"
"2456a";1987;"Bernard Halpern (1904-1978). Immunologist - Works on Allergy";"1.90+0.50 ₣ - French franc";"Green black";"timbre"
2457;1987;"Alexandre Yersin (1863-1943). Discovery of the plague bacill";"2.20+0.50 ₣ - French franc";"Green black";"timbre"
"2457a";1987;"Alexander Yersin (1863-1943). Discovery of the plague bacill";"2.20+0.50 ₣ - French franc";"Green black";"timbre"
2458;1987;"Jean Rostand (1894-1977). Genetics Teratology - work on amph";"2.20+0.50 ₣ - French franc";"Violet blue";"timbre"
"2458a";1987;"Jean Rostand (1894-1977). Genetics Teratology - work on amph";"2.20+0.50 ₣ - French franc";"Violet blue";"timbre"
2459;1987;"Jacques Monod (1910-1976). Molecular biology - Nobel Prize i";"2.20+0.50 ₣ - French franc";"Black purple";"timbre"
"2459a";1987;"Jacques Monod (1910-1976). Molecular biology -Nobel Prize i";"2.20+0.50 ₣ - French franc";"Violet blue";"timbre"
2461;1987;"Liberty (PhilexFrance)";"2.20 ₣ - French franc";"Multicolor";"timbre"
2462;1987;"Redon: The central tower of the Abbey St. Sauveur (twelfth";"2.20 ₣ - French franc";"Multicolor";"timbre"
2463;1987;"Etretat by Delacroix";"2.20 ₣ - French franc";"Multicolor";"timbre"
2464;1987;"Castle Azay-le-Rideau";"2.50 ₣ - French franc";"Brown olive | Cyan blue";"timbre"
2465;1987;"Les Baux de Provence";"3 ₣ - French franc";"Blue violet | Olive brown";"timbre"
2466;1987;"Meuse Hills";"3.70 ₣ - French franc";"Multicolor";"timbre"
2467;1987;"Handicrafts. Thiers Cutlery";"1.90 ₣ - French franc";"Black | Red";"timbre"
2468;1987;"Stagecoach Berline 1837";"2.20+0.60 ₣ - French franc";"Black brown";"timbre"
2469;1987;"Stagecoach Berline 1837";"2.20+0.60 ₣ - French franc";"Black blue";"timbre"
2470;1987;"Le Corbusier (1887-1965) The Modulor";"3.70 ₣ - French franc";"Multicolor";"timbre"
2471;1987;"Claude Vasconi - Boulogne-Billancour";"2.20 ₣ - French franc";"Blue | Green";"timbre"
2472;1987;"Rob Mallet Stevens, Paris 16th";"3.40 ₣ - French franc";"Green | Violet brown";"timbre"
2473;1987;"Work of Bram Van Velde (1895-1981)";"5 ₣ - French franc";"Multicolor";"timbre"
2474;1987;"Eugène Boudin (1824-1898) Woman with Umbrella";"5 ₣ - French franc";"Multicolor";"timbre"
2475;1987;"Pourrat Henri (1887-1959) Gaspard of the Mountains";"1.90 ₣ - French franc";"Brown black | Emerald";"timbre"
2476;1987;"Lens: Congress of the French Federation of Philatelic Societ";"2.20 ₣ - French franc";"Brown lilac | Red";"timbre"
2477;1987;"General Pershing";"3.40 ₣ - French franc";"Multicolor";"timbre"
2478;1987;"Millennium of the arrival of Hugh Capet. Noyon 987-1987";"1.90 ₣ - French franc";"Black | Cobalt";"timbre"
2479;1987;"La Flèche: The military academy";"2.20 ₣ - French franc";"Multicolor";"timbre"
2480;1987;"Grenoble: 6th International Congress of the ropeway";"2 ₣ - French franc";"Multicolor";"timbre"
2481;1987;"Blackfoot: 25 after, global gathering Nice";"1.90 ₣ - French franc";"Multicolor";"timbre"
2482;1987;"Wrestling World Championships in Clermont-Ferrand";"3 ₣ - French franc";"Multicolor";"timbre"
2483;1987;"Liberty";"B º - No Face Value";"Dark yellowish green";"timbre"
2484;1987;"Liberty";"2 ₣ - French franc";"Green";"timbre"
2485;1987;"Liberty";"3.60 ₣ - French franc";"Cobalt";"timbre"
2486;1987;"Liberty";"3.70 ₣ - French franc";"Dark lilac";"timbre"
"2486a";1987;"Liberty";"3.70 ₣ - French franc";"Dark lilac";"timbre"
"2486b";1987;"Liberty";"3.70 ₣ - French franc";"Dark lilac";"timbre"
2487;1987;"Liberty coil stamp";"2 ₣ - French franc";"Green";"timbre"
2488;1987;"Indigotier (Gyroporus Cyanescens)";"2 ₣ - French franc";"Multicolor";"timbre"
2489;1987;"Chanterelle violette (Gomphus Clavatus)";"3 ₣ - French franc";"Multicolor";"timbre"
2490;1987;"Conical morel (Morchella Conica)";"4 ₣ - French franc";"Multicolor";"timbre"
2491;1987;"Palomet (Russula Virescens)";"5 ₣ - French franc";"Multicolor";"timbre"
2492;1987;"1087: Bayeux Tapestry - William the Conqueror";"2 ₣ - French franc";"Multicolor";"timbre"
2493;1987;"Camille Bryen (1907-1977) Precambrian";"5 ₣ - French franc";"Multicolor";"timbre"
2494;1987;"Antoine Pevsner (1884-1962) World constructivist sculptor";"5 ₣ - French franc";"Multicolor";"timbre"
2495;1987;"Montbenoît le Saugeais";"2.50 ₣ - French franc";"Multicolor";"timbre"
2496;1987;"Pasteur Institute 1887-1987";"2.20 ₣ - French franc";"Brown red | Violet ultramarine";"timbre"
2497;1987;"Cendrars Blaise (1887-1961) by Modigliani";"2 ₣ - French franc";"Multicolor";"timbre"
2498;1987;"Altarpiece of the Chartreuse de Champmol The Flight into Eg";"2.20+0.60 ₣ - French franc";"Multicolor";"timbre"
"2498a";1987;"La fuite en Egypte de Melchior Broederlam";"2.20+0.60 ₣ - French franc";"Multicolor";"timbre"
2499;1987;"General Leclerc (1902-1947) - Paris-Strasbourg-Kufra";"2.20 ₣ - French franc";"Multicolor";"timbre"
2500;1987;"Andelot treaty (587)";"3.70 ₣ - French franc";"Blue | Cobalt";"timbre"
2501;1988;"Treaty on the Franco-German cooperation 1963-1988";"2.20 ₣ - French franc";"Black | Violet purple";"timbre"
2502;1988;"Marcel Dassault (1892-1986)";"3.60 ₣ - French franc";"Multicolor";"timbre"
2503;1988;"Communication as seen by Pellos";"2.20 ₣ - French franc";"Multicolor";"timbre"
2504;1988;"Communication as seen by Jean Marc Reiser";"2.20 ₣ - French franc";"Multicolor";"timbre"
2505;1988;"Communication as seen by Marijac";"2.20 ₣ - French franc";"Multicolor";"timbre"
2506;1988;"Communication as seen by Fred";"2.20 ₣ - French franc";"Multicolor";"timbre"
2507;1988;"Communication as seen by Moebius";"2.20 ₣ - French franc";"Multicolor";"timbre"
2508;1988;"Communication as seen by Gillon";"2.20 ₣ - French franc";"Multicolor";"timbre"
2509;1988;"Communication as seen by Bretecher";"2.20 ₣ - French franc";"Multicolor";"timbre"
2510;1988;"Communication as seen by Jean-Claude Forest";"2.20 ₣ - French franc";"Multicolor";"timbre"
2511;1988;"Communication as seen by Jean-Claude Mezieres";"2.20 ₣ - French franc";"Multicolor";"timbre"
2512;1988;"Communication as seen by Tardi";"2.20 ₣ - French franc";"Multicolor";"timbre"
2513;1988;"Communication as seen by Lob";"2.20 ₣ - French franc";"Multicolor";"timbre"
2514;1988;"Communication as seen by Bilal";"2.20 ₣ - French franc";"Multicolor";"timbre"
2516;1988;"The Great Synagogue of Rue de la Victoire, Paris";"2 ₣ - French franc";"Black | Gold";"timbre"
2517;1988;"Duquesne (1610-1688)";"2+0.50 ₣ - French franc";"Multicolor";"timbre"
2518;1988;"Suffren, Pierre de (1729-1788)";"2+0.50 ₣ - French franc";"Multicolor";"timbre"
2519;1988;"Galaup, J.- F. de Comte de la Pérouse (1741-1788)";"2+0.50 ₣ - French franc";"Multicolor";"timbre"
2520;1988;"Bertrand François Mahé de La Bourdonnais (1699-1753)";"2.20+0.50 ₣ - French franc";"Multicolor";"timbre"
2521;1988;"Bougainville,Louis Antoine Comte de (1729-1811)";"2.20+0.50 ₣ - French franc";"Multicolor";"timbre"
2522;1988;"Jules Dumont d´Urville (1790-1842)";"2.20+0.50 ₣ - French franc";"Multicolor";"timbre"
2524;1988;"Philexfrance 89 International Stamp Exhibition, Paris";"2.20 ₣ - French franc";"Multicolor";"timbre"
2525;1988;"Car mounted";"2.20+0.60 ₣ - French franc";"Dark purple violet";"timbre"
2526;1988;"Car mounted";"2.20+0.60 ₣ - French franc";"Black lilac brown";"timbre"
2527;1988;"Centenary of the National School Superior of PTT";"3.60 ₣ - French franc";"Multicolor";"timbre"
2528;1988;"Blood donation";"2.50 ₣ - French franc";"Multicolor";"timbre"
2529;1988;"Philex-Young 88 - Nevers";"2 ₣ - French franc";"Multicolor";"timbre"
2530;1988;"Liberty with Euro- value";"2.20 ₣ - French franc";"Light red";"timbre"
2531;1988;"C.E.P.T.- Communications: Cable and Satellite";"2.20 ₣ - French franc";"Multicolor";"timbre"
2532;1988;"C.E.P.T.- Transport and communication: Urban future";"3.60 ₣ - French franc";"Multicolor";"timbre"
2533;1988;"Birth Centenary of Jean Monnet (1888-1979)";"2.20 ₣ - French franc";"Blue violet | Brown";"timbre"
2534;1988;"Valence: Congress of the Federation of Philatelic Societies";"2.20 ₣ - French franc";"Multicolor";"timbre"
2535;1988;"International Medical Assistance";"3.60 ₣ - French franc";"Multicolor";"timbre"
2536;1988;"Accessibility for disabled";"3.70 ₣ - French franc";"Multicolor";"timbre"
2537;1988;"Vizille 1788 - Assembly of 3 orders";"3 ₣ - French franc";"Multicolor";"timbre"
2538;1988;"Grenoble 1788 - Day of the tiles";"4 ₣ - French franc";"Multicolor";"timbre"
"2538A";1988;"Bicentenary of the French Revolution";"7 ₣ - French franc";"Multicolor";"timbre"
2539;1988;"Eurasian Otter (Lutra lutra)";"2 ₣ - French franc";"Multicolor";"timbre"
2540;1988;"Red Deer (Cervus elaphus)";"3 ₣ - French franc";"Multicolor";"timbre"
2541;1988;"Red Fox (Vulpes vulpes)";"4 ₣ - French franc";"Multicolor";"timbre"
2542;1988;"European Badger (Meles meles)";"5 ₣ - French franc";"Multicolor";"timbre"
2543;1988;"Centennial of Alpine troops";"2.50 ₣ - French franc";"Multicolor";"timbre"
2544;1988;"Roland Garros (1888-1918)";"2 ₣ - French franc";"Multicolor";"timbre"
2545;1988;"Douarnenez - The Boat Museum";"2 ₣ - French franc";"Multicolor";"timbre"
2546;1988;"Castle Sédières - Correze";"2.20 ₣ - French franc";"Multicolor";"timbre"
2547;1988;"Cirque de Gavarnie";"3 ₣ - French franc";"Multicolor";"timbre"
2548;1988;"Hermes double-headed - Roman sculpture at Frejus";"3.70 ₣ - French franc";"Multicolor";"timbre"
2549;1988;"70th Anniversary of WWI Armistice";"2.20 ₣ - French franc";"Multicolor";"timbre"
2550;1988;"Pérouges - Ain";"2.20 ₣ - French franc";"Multicolor";"timbre"
2551;1988;"Robert Jacobsen (1912-1993) Homage to Leon Degand";"5 ₣ - French franc";"Black | Brown carmine";"timbre"
2552;1988;"2000th Anniversary of Strasbourg";"2.20 ₣ - French franc";"Multicolor";"timbre"
2553;1988;"Ligier Richier-- The Sepulchre St. Mihiel";"5 ₣ - French franc";"Dark violet brown";"timbre"
2554;1988;"Serge Poliakoff (1906-1969) - composition (1954)";"5 ₣ - French franc";"Multicolor";"timbre"
2555;1988;"125 th anniversary of the French Red Cross";"2.20+0.60 ₣ - French franc";"Multicolor";"timbre"
"2555a";1988;"125 Eme Aniv De La Croix Rouge";"2.20+0.60 ₣ - French franc";"Multicolor";"timbre"
2556;1988;"Thermal Spas";"2.20 ₣ - French franc";"Multicolor";"timbre"
2557;1988;"Jean Tinguely (1925-1991) «Méta»";"5 ₣ - French franc";"Multicolor";"timbre"
2558;1988;"Enguerrand Quarton - Pieta of Villeneuve-lès-Avignon";"5 ₣ - French franc";"Multicolor";"timbre"
2559;1988;"Declaration of Human Rights, 40th Anniversary";"2.20 ₣ - French franc";"Blue | Cyan blue";"timbre"
2560;1989;"Birds";"2.20 ₣ - French franc";"Red | Violet blue";"timbre"
2561;1989;"Yves Klein (1928-1962) Anthropometry of the blue period";"5 ₣ - French franc";"Multicolor";"timbre"
2562;1989;"Help for Blind People";"2.20 ₣ - French franc";"Multicolor";"timbre"
2563;1989;"Centenary of the Ecole Estienne";"2.20 ₣ - French franc";"Black | Red";"timbre"
2564;1989;"SIEYES (1748-1836)";"2.20+0.50 ₣ - French franc";"Multicolor";"timbre"
2565;1989;"Mirabeau (1749-1791)";"2.20+0.50 ₣ - French franc";"Multicolor";"timbre"
2566;1989;"Vicomte de Noailles (1756-1804)";"2.20+0.50 ₣ - French franc";"Multicolor";"timbre"
2567;1989;"Marquis de Lafayette (1757-1834)";"2.20+0.50 ₣ - French franc";"Multicolor";"timbre"
